,Series_Title,nota_promedio_libro,imdb_rating
0,The Shawshank Redemption,8.96,9.30
1,The Godfather,8.76,9.20
2,The Dark Knight,8.52,9.00
3,The Godfather: Part II,10.00,9.00
4,12 Angry Men,8.14,9.00
5,The Lord of the Rings: The Return of the King,9.24,8.90
6,Schindlers List,8.68,8.90
7,Inception,7.96,8.80
8,Fight Club,8.38,8.80
9,The Lord of the Rings: The Fellowship of the Ring,9.30,8.80
10,Forrest Gump,8.08,8.80
11,"Il buono, il brutto, il cattivo",6.00,8.80
12,The Lord of the Rings: The Two Towers,9.34,8.70
13,Goodfellas,7.44,8.70
14,Star Wars: Episode V - The Empire Strikes Back,8.76,8.70
15,One Flew Over the Cuckoos Nest,8.40,8.70
16,Hamilton,8.42,8.60
17,Cidade de Deus,7.86,8.60
18,Sen to Chihiro no kamikakushi,8.92,8.60
19,Saving Private Ryan,8.58,8.60
20,The Green Mile,8.94,8.60
21,La vita è bella,8.86,8.60
22,The Silence of the Lambs,8.46,8.60
23,Seppuku,7.56,8.60
24,Its a Wonderful Life,8.64,8.60
25,Joker,8.06,8.50
26,Whiplash,8.34,8.50
27,The Prestige,7.82,8.50
28,The Departed,8.44,8.50
29,Gladiator,8.30,8.50
30,The Usual Suspects,7.34,8.50
31,The Lion King,8.96,8.50
32,Terminator 2: Judgment Day,8.10,8.50
33,Nuovo Cinema Paradiso,8.40,8.50
34,Hotaru no haka,8.12,8.50
35,Back to the Future,8.42,8.50
36,Psycho,7.64,8.50
37,Casablanca,8.88,8.50
38,Capharnaüm,7.26,8.40
39,Spider-Man: Into the Spider-Verse,9.40,8.40
40,Django Unchained,8.36,8.40
41,The Dark Knight Rises,8.30,8.40
42,Taare Zameen Par,8.26,8.40
43,Mononoke-hime,8.54,8.40
44,Once Upon a Time in America,7.62,8.40
45,Raiders of the Lost Ark,8.40,8.40
46,The Shining,8.52,8.40
47,Apocalypse Now,7.46,8.40
48,Alien,7.60,8.40
49,Tengoku to jigoku,6.00,8.40
50,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7.64,8.40
51,Witness for the Prosecution,8.12,8.40
52,Paths of Glory,7.98,8.40
53,Rear Window,8.08,8.40
54,Sunset Blvd.,10.00,8.40
55,The Great Dictator,5.92,8.40
56,Andhadhun,9.42,8.30
57,Drishyam,9.10,8.30
58,Incendies,8.70,8.30
59,Babam ve Oglum,9.00,8.30
60,Inglourious Basterds,8.50,8.30
61,Eternal Sunshine of the Spotless Mind,8.32,8.30
62,Snatch,8.22,8.30
63,Requiem for a Dream,8.20,8.30
64,Good Will Hunting,8.96,8.30
65,Toy Story,8.54,8.30
66,Braveheart,8.42,8.30
67,Reservoir Dogs,8.74,8.30
68,Full Metal Jacket,8.06,8.30
69,Aliens,7.60,8.30
70,Amadeus,8.30,8.30
71,Star Wars: Episode VI - Return of the Jedi,8.22,8.30
