,Unnamed: 0,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date_x,planet type,planet radius,orbital period,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],indice masa,tipo tamaño,description,discovery date_y,kepid,koi_impact,koi_prad
773,773,774,2193,Kepler-1585 b,4139.0,3.86 Earths,15.977,2016,Super Earth,1.79 x Earth,3.6 days,Kepler-1582,Transit,751.358024691358,0.28,0.3,muy caliente,criogenia,1.79,3.86,mas grande,"Kepler-1583 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.156 Earths, it takes 9.3 days to complete one orbit of its star, and is 0.085 AU from its star. Its discovery was announced in 2016.",2016,8507475,0.143,1.64
852,852,855,2274,Kepler-164 b,2982.0,2.57 Earths,14.233,2014,Super Earth,1.41 x Earth,5 days,Kepler-1646,Transit,779.4444444444445,0.24,0.26,muy caliente,criogenia,1.41,2.57,mas grande,"Kepler-1649 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.03 Earths, it takes 8.7 days to complete one orbit of its star, and is 0.0514 AU from its star. Its discovery was announced in 2017.",2014,10460984,0.911,1.63
854,854,857,2276,Kepler-164 d,2982.0,6.57 Earths,14.233,2014,Neptune-like,0.219 x Jupiter,29 days,Kepler-1649,Transit,761.2345679012346,0.2,0.23,muy caliente,criogenia,0.219,6.57,mas grande,"Kepler-164 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.57 Earths, it takes 5 days to complete one orbit of its star, and is 0.058 AU from its star. Its discovery was announced in 2014.",2017,10460984,0.842,2.7
855,855,858,2277,Kepler-1650 b,393.0,0.84 Earths,15.739,2017,Terrestrial,0.96 x Earth,1.5 days,Kepler-1649,Transit,761.2345679012346,0.2,0.23,muy caliente,lejos,0.96,0.84,mas pequeño,"Kepler-164 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.9 Earths, it takes 10.9 days to complete one orbit of its star, and is 0.097 AU from its star. Its discovery was announced in 2014.",2017,7304449,0.932,1.0
1586,1586,1605,3024,Kepler-422 b,2408.0,0.43 Jupiters,13.423,2014,Gas Giant,1.15 x Jupiter,7.9 days,Kepler-42,Transit,708.1481481481483,0.13,0.17,muy caliente,criogenia,1.15,0.43,mas pequeño,"Kepler-41 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.56 Jupiters, it takes 1.9 days to complete one orbit of its star, and is 0.03101 AU from its star. Its discovery was announced in 2011.",2014,9631995,0.306,12.63
1587,1587,1606,3025,Kepler-423 b,2365.0,0.595 Jupiters,14.28,2014,Gas Giant,1.192 x Jupiter,2.7 days,Kepler-42,Transit,708.1481481481483,0.13,0.17,muy caliente,criogenia,1.192,0.595,mas pequeño,"Kepler-421 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 16.1 Earths, it takes 1.9 years to complete one orbit of its star, and is 1.219 AU from its star. Its discovery was announced in 2014.",2014,9651668,0.076,12.73
1588,1588,1607,3026,Kepler-424 b,2325.0,1.03 Jupiters,14.229,2014,Gas Giant,0.89 x Jupiter,3.3 days,Kepler-42,Transit,708.1481481481483,0.13,0.17,muy caliente,criogenia,0.89,1.03,mas grande,"Kepler-422 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.43 Jupiters, it takes 7.9 days to complete one orbit of its star, and is 0.082 AU from its star. Its discovery was announced in 2014.",2014,11046458,0.905,9.06
1622,1622,1643,3062,Kepler-445 d,294.0,2.1 Earths,16.716,2015,Super Earth,1.25 x Earth,8.2 days,Kepler-445,Transit,735.6172839506173,0.18,0.21,muy caliente,lejos,1.25,2.1,mas grande,"Kepler-445 b is a super Earth exoplanet that orbits an M-type star. Its mass is 3.12 Earths, it takes 3 days to complete one orbit of its star, and is 0.0217 AU from its star. Its discovery was announced in 2015.",2015,9730163,0.461,2.44
1623,1623,1644,3063,Kepler-446 b,391.0,2.86 Earths,16.31,2015,Super Earth,1.5 x Earth,1.6 days,Kepler-445,Transit,735.6172839506173,0.18,0.21,muy caliente,lejos,1.5,2.86,mas grande,"Kepler-445 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 6.85 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.0301 AU from its star. Its discovery was announced in 2015.",2015,8733898,0.003,1.73
1624,1624,1645,3064,Kepler-446 c,391.0,1.41 Earths,16.31,2015,Super Earth,1.11 x Earth,3 days,Kepler-445,Transit,735.6172839506173,0.18,0.21,muy caliente,lejos,1.11,1.41,mas grande,"Kepler-445 d is a super Earth exoplanet that orbits an M-type star. Its mass is 2.1 Earths, it takes 8.2 days to complete one orbit of its star, and is 0.0439 AU from its star. Its discovery was announced in 2015.",2015,8733898,0.111,1.4
