,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
0,1,Rosewood Castiglion del Bosco,Montalcino,Italy,Europe,Massimo and Chiara Ferragamo,99.25,1,53,Small,Countryside,2000,21,0.0,0.0,2022,4.8,4.3,4.1,4.6,5.0,4.7,4.9,4.8,4.4
1,2,Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.22,2,20,Small,Coastal,2000,21,1.0,6.0,2022,4.6,4.8,4.6,4.5,5.0,4.9,4.9,4.8,4.4
2,107,Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.18,6,139,Small,Coastal,2008,21,0.0,0.0,2021,4.6,4.8,4.6,4.5,5.0,4.9,4.9,4.8,4.4
3,3,Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,99.11,3,119,Small,Island,2019,21,1.0,80.0,2022,4.7,4.6,4.6,4.6,5.0,4.9,4.9,4.8,4.5
4,185,Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,97.0,80,119,Small,Island,2019,21,0.0,0.0,2021,4.7,4.6,4.6,4.6,5.0,4.9,4.9,4.8,4.5
5,4,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.95,4,10,Small,Boutique ,1813,19,1.0,34.0,2022,4.6,4.8,4.6,4.5,5.0,5.0,4.8,4.9,4.4
6,4,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.95,4,10,Small,Boutique ,1813,19,1.0,34.0,2022,4.9,0.0,0.0,0.0,5.0,5.0,4.8,4.9,4.4
7,135,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.11,34,10,Small,Contemporary ,2018,21,0.0,0.0,2021,4.6,4.8,4.6,4.5,5.0,5.0,4.8,4.9,4.4
8,135,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.11,34,10,Small,Contemporary ,2018,21,0.0,0.0,2021,4.9,0.0,0.0,0.0,5.0,5.0,4.8,4.9,4.4
9,5,One&Only Reethi Rah,North Malé Atoll,Maldives,Southeast Asia,Kerzner International,98.93,5,130,Small,Island,2005,21,0.0,0.0,2022,4.9,4.1,4.6,4.2,5.0,4.8,4.9,4.8,4.2
