,Country/Region,2021,2020,2019,2018
0,Bangladesh,77.0,77.0,83.0,97.0
1,Chad,76.0,0.0,0.0,0.0
2,Pakistan,67.0,59.0,66.0,74.0
3,Tajikistan,59.0,31.0,0.0,0.0
4,India,58.0,52.0,58.0,73.0
5,Oman,54.0,44.0,0.0,0.0
6,Kyrgyzstan,51.0,44.0,33.0,0.0
7,Bahrain,50.0,40.0,47.0,60.0
8,Iraq,50.0,0.0,0.0,0.0
9,Nepal,46.0,39.0,45.0,54.0
10,Sudan,44.0,0.0,0.0,0.0
11,Uzbekistan,43.0,30.0,41.0,34.0
12,Qatar,38.0,44.0,0.0,0.0
13,Afghanistan,38.0,47.0,59.0,62.0
14,United Arab Emirates,36.0,29.0,39.0,50.0
15,Montenegro,35.0,26.0,0.0,0.0
16,Indonesia,34.0,41.0,52.0,42.0
17,Nigeria,34.0,0.0,0.0,0.0
18,Armenia,34.0,25.0,26.0,0.0
19,Mongolia,33.0,47.0,62.0,59.0
