,name,light years from earth,stellar magnitude,discovery date_x,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,planet radius [0],indice masa,description,koi_impact
0,Kepler-1585 b,4139.0,15.977,2016,Kepler-1582,Transit,751.0,0.28,0.3,1.79,3.86,"Kepler-1583 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.156 Earths, it takes 9.3 days to complete one orbit of its star, and is 0.085 AU from its star. Its discovery was announced in 2016.",0.143
1,Kepler-164 b,2982.0,14.233,2014,Kepler-1646,Transit,779.0,0.24,0.26,1.41,2.57,"Kepler-1649 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.03 Earths, it takes 8.7 days to complete one orbit of its star, and is 0.0514 AU from its star. Its discovery was announced in 2017.",0.911
2,Kepler-164 d,2982.0,14.233,2014,Kepler-1649,Transit,761.0,0.2,0.23,0.219,6.57,"Kepler-164 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.57 Earths, it takes 5 days to complete one orbit of its star, and is 0.058 AU from its star. Its discovery was announced in 2014.",0.842
3,Kepler-1650 b,393.0,15.739,2017,Kepler-1649,Transit,761.0,0.2,0.23,0.96,0.84,"Kepler-164 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.9 Earths, it takes 10.9 days to complete one orbit of its star, and is 0.097 AU from its star. Its discovery was announced in 2014.",0.932
4,Kepler-422 b,2408.0,13.423,2014,Kepler-42,Transit,708.0,0.13,0.17,1.15,0.43,"Kepler-41 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.56 Jupiters, it takes 1.9 days to complete one orbit of its star, and is 0.03101 AU from its star. Its discovery was announced in 2011.",0.306
5,Kepler-423 b,2365.0,14.28,2014,Kepler-42,Transit,708.0,0.13,0.17,1.192,0.595,"Kepler-421 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 16.1 Earths, it takes 1.9 years to complete one orbit of its star, and is 1.219 AU from its star. Its discovery was announced in 2014.",0.076
6,Kepler-424 b,2325.0,14.229,2014,Kepler-42,Transit,708.0,0.13,0.17,0.89,1.03,"Kepler-422 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.43 Jupiters, it takes 7.9 days to complete one orbit of its star, and is 0.082 AU from its star. Its discovery was announced in 2014.",0.905
7,Kepler-445 d,294.0,16.716,2015,Kepler-445,Transit,736.0,0.18,0.21,1.25,2.1,"Kepler-445 b is a super Earth exoplanet that orbits an M-type star. Its mass is 3.12 Earths, it takes 3 days to complete one orbit of its star, and is 0.0217 AU from its star. Its discovery was announced in 2015.",0.461
8,Kepler-446 b,391.0,16.31,2015,Kepler-445,Transit,736.0,0.18,0.21,1.5,2.86,"Kepler-445 c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 6.85 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.0301 AU from its star. Its discovery was announced in 2015.",0.003
9,Kepler-446 c,391.0,16.31,2015,Kepler-445,Transit,736.0,0.18,0.21,1.11,1.41,"Kepler-445 d is a super Earth exoplanet that orbits an M-type star. Its mass is 2.1 Earths, it takes 8.2 days to complete one orbit of its star, and is 0.0439 AU from its star. Its discovery was announced in 2015.",0.111
